--------------------
BDMEP - INMET
--------------------
Estação           : RIO DE JANEIRO - RJ (OMM: 83743)
Latitude  (graus) : -22.89
Longitude (graus) : -43.18
Altitude  (metros): 11.10
Estação Operante
Inicio de operação: 01/01/1917
Periodo solicitado dos dados: 01/01/1950 a 03/10/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, <A HREF="instrucao.html" TARGET="_top" rel="facebox">siga as instruções</a>
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVentoNebulosidade;
83743;07/04/1961;0000;24.6;22.9;86;1015.5;23;2;10;
83743;07/04/1961;1200;22.2;21.8;96;1017.5;9;3.5;10;
83743;07/04/1961;1800;22.8;21.8;91;1015.2;14;2;10;
83743;08/04/1961;0000;23.2;22.2;91;1016;9;1;10;
83743;08/04/1961;1200;24.1;22.9;89;1015.8;0;0;9;
83743;08/04/1961;1800;26.4;24;81;1013.1;14;3;5;
83743;09/04/1961;0000;25.2;23.8;88;1014;0;0;10;
83743;09/04/1961;1200;25.8;23.8;84;1013.9;0;0;3;
83743;09/04/1961;1800;27.8;24.2;73;1010.7;9;2;2;
83743;10/04/1961;0000;26.8;23.9;77;1013.2;18;1;7;
83743;10/04/1961;1200;26;24.2;86;1014.3;0;0;6;
83743;10/04/1961;1800;27.6;23.4;68;1010.4;14;5.1;4;
83743;11/04/1961;0000;25.6;23.6;84;1012.7;0;0;5;
83743;11/04/1961;1200;25.1;23.5;87;1012;0;0;10;
83743;11/04/1961;1800;28.2;24.8;75;1008.2;14;4;4;
83743;12/04/1961;0000;27.4;24.7;79;1009.8;0;0;0;
83743;12/04/1961;1200;27.5;24.5;77;1010.4;0;0;0;
83743;12/04/1961;1800;30.7;26;68;1007.8;18;3.5;3;
83743;13/04/1961;0000;29.2;24.1;64;1010.2;0;0;0;
83743;13/04/1961;1200;28.9;25.4;74;1010.4;0;0;5;
83743;13/04/1961;1800;29.4;25.5;72;1008.2;14;3.4;2;
83743;14/04/1961;0000;28.6;24.2;68;1010.6;0;0;0;
83743;14/04/1961;1200;27.5;25.2;82;1012.7;0;0;3;
83743;14/04/1961;1800;29.6;25.1;68;1010;14;3.9;4;
83743;15/04/1961;0000;26;24.4;87;1012.6;0;0;3;
83743;15/04/1961;1200;26;23.9;83;1014.2;0;0;8;
83743;15/04/1961;1800;27.8;24.2;73;1010.8;14;3;1;
83743;16/04/1961;0000;25.8;23.4;81;1012.8;14;1;3;
83743;16/04/1961;1200;25.1;22.9;82;1014.7;0;0;3;
83743;16/04/1961;1800;27.9;23.8;70;1011.8;14;4;4;
83743;17/04/1961;0000;25.9;22.8;76;1013.2;0;0;0;
83743;17/04/1961;1200;25.7;23.1;79;1014.4;0;0;3;
83743;17/04/1961;1800;28.8;23.7;63;1010.2;18;2.7;2;
83743;18/04/1961;0000;27;23.4;72;1010.4;0;0;0;
83743;18/04/1961;1200;25.8;22.9;77;1010.7;0;0;7;
83743;18/04/1961;1800;32;23.2;45;1006;14;1.2;4;
83743;19/04/1961;0000;27.7;23.3;68;1006.7;0;0;0;
83743;19/04/1961;1200;23.4;22.5;92;1010.2;0;0;10;
83743;19/04/1961;1800;25.5;21.2;66;1009.4;0;0;9;
83743;20/04/1961;0000;21.9;21.1;93;1012.4;14;3;10;
83743;20/04/1961;1200;22.1;20.2;83;1015;0;0;10;
83743;20/04/1961;1800;22.2;19.8;79;1013.5;0;0;10;
83743;21/04/1961;0000;21.8;19;76;1015.1;0;0;10;
83743;21/04/1961;1200;21.8;20.2;86;1016.2;0;0;10;
83743;21/04/1961;1800;22;20.4;86;1014.7;0;0;10;
83743;22/04/1961;0000;22;20.6;88;1015.5;0;0;10;
83743;22/04/1961;1200;22.4;20.8;86;1015.6;0;0;8;
83743;22/04/1961;1800;26.8;23;71;1012.4;14;1;5;
83743;23/04/1961;0000;23.3;21.7;87;1012.8;0;0;0;
83743;23/04/1961;1200;25.3;22.5;78;1012.7;0;0;8;
83743;23/04/1961;1800;29.8;23.4;56;1009.5;0;0;7;
83743;24/04/1961;0000;26.2;24;83;1011.5;0;0;10;
83743;24/04/1961;1200;25;22.5;80;1012.2;0;0;9;
83743;24/04/1961;1800;26.6;23.6;77;1009.1;14;4.7;8;
83743;25/04/1961;0000;25.4;22.3;75;1011.2;0;0;6;
83743;25/04/1961;1200;24;22.7;89;1013;0;0;10;
